system:index,NDTI_max,NDTI_mean,NDTI_median,NDTI_min,Stretch,.geo
0,0.1200671704450042,-0.032470336494074326,-0.025374190815217364,-0.4000519885625162,Total Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.08593475973342692,-0.04938656109366855,-0.040000581326270976,-0.3459276421315274,Upstream2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.08157871291539218,8.928412159938869E-4,0.004937287950160521,-0.20452209660842754,Upstream1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.08709472345835982,-0.040732071851501545,-0.03222194080447157,-0.4000519885625162,Middle,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.1111111111111111,-0.011113755868116687,-0.006846333984515784,-0.27124183006535946,Downstream1,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.1200671704450042,-0.008055021076333062,-0.003030659351344293,-0.22615476904619075,Downstream2,"{""type"":""MultiPoint"",""coordinates"":[]}"
